platform,komentar,timestamp,sentimen
twitter,"Gak ada ceritanya angkur copot! Kami pakai chemical terbaik dari Hilti
Hubungi 0812 6060 2997
#jasapasangangkur #chemicalhilti #aplikatorhilti #SelamatHariBuruh #vasektomi #MediaTempoPengkhianatBangsa",2025-04-30T23:44:01.000Z,
twitter,"tapi dia bener kok jelas solusinya vasektomi, vasektomi juga gak sembarangan, kan ada syaratnya kak, memang bener hak mereka mau punya anak berapa tapi diliat juga kan ekonominya apa mampu dengan terus2an bikin anak tapi kebutuhannya tidak tercukupi dan jadilah stunting",2025-04-30T23:43:52.000Z,
twitter,Ya makanya kalo bisa jgn kasih pilihan utk bansos biar mereka jg bisa mikir utk kerja. Mau vasektomi jg trs anaknya pada ngandelin bansos jg sampe gede? Kapan putus rantai kemiskinan nya dong? Dan ya lapangan kerja ada tapi syarat min pengalaman syarat umur dg gaji ga ngotak,2025-04-30T23:43:32.000Z,
twitter,"Sederhana gigilu bau jigong.. mencegah kemiskinan ada bnyak cara, malah dipilih vasektomi... Kalo angkat rahim gimana?? Biar lu perempuan mandul juga mau??",2025-04-30T23:43:09.000Z,
twitter,Masih mending vasektomi karena kalo gua jadi beliau gua suruh potong titit,2025-04-30T23:42:34.000Z,
twitter,"emang gaadil sejak dalam pikiran, setuju gara² itu cowok aja. mendorong vasektomi bagus, tapi memaksakan jangan permah didukung. mau vasektomi, KB, tubektomi jangan pernah setuju kalo dipaksakan apalagi dikaitkan bansos",2025-04-30T23:39:12.000Z,
twitter,"Vasektomi -> Haram

Kelar",2025-04-30T23:39:04.000Z,
twitter,Standar ganda sekali. Menggalakkan vasektomi tapi menghalangi sex edu.,2025-04-30T23:38:11.000Z,
twitter,"Benerr, liat bayi dikasih kental manis buat pengganti susu ini gk cuma satu atau dua kasus aja
Ada banyak anak yg blm genep setaun tapi mamanya udh hamil lagi karena gak boleh kb atau lakinya gk mau vasektomi",2025-04-30T23:37:04.000Z,
twitter,"Lebih jahat kalau membiarkan 1 pasangan anaknya lebih dari 8, semuanya ga ada yg jadi orang berhasil, hutang sana sini trus, kaya tetangga saya. Sini ke kampung di jabar banyak, kalo mau lihat. Ini kan ga papa punya anak tapi maks 2,setelah itu vasektomi ayahnya.",2025-04-30T23:36:52.000Z,
twitter,Ini bikin dilema. Di satu sisi aku setuju sama statement ini tapi di satu sisi aku setuju soal program vasektomi. Yah emang akar dasarnya salah satunya pendidikan dan pemerenta kita tidak peduli soal itu ,2025-04-30T23:36:11.000Z,
twitter,"et dah, timeline masih banyak noise. 

gw mute sekalian dah kata jabar, pria, laki-laki, vasektomi, sterilization",2025-04-30T23:36:05.000Z,
twitter,"because KB IS a choice and vasektomi should be a choice too! pemberian sembako itu kewajiban negara tanpa syarat, kalau pemberian sembako dengan syarat harus vasektomi itu secara tidak langsung pembasmian masyarakat miskin (secara literal) ",2025-04-30T23:35:42.000Z,
twitter,"Kocak lu tolol, lu pikir vasektomi tuh titit nya ditebas????",2025-04-30T23:35:19.000Z,
twitter,Kata Kunci hari ini adalah VASEKTOMi,2025-04-30T23:35:15.000Z,
twitter,"Kayanya vasektomi bukan hal yang  bakal diterima dengan mudah oleh negara ini. 
Tapi bisa beralih ke yang wajib dapat bansos atau diprioritaskan adalah yang memiliki anak 2 dan  merupakan istri pertama.",2025-04-30T23:35:04.000Z,
twitter,Pro ada program vasektomi sebagai program kb baru,2025-04-30T23:33:44.000Z,
twitter,"Dengan Vasektomi itu membantu banget mengurangi beban hidup istri sama masa depan anak lu juga . Lu cuma disuruh KB bukan disuruh potong titit , dari jaman gua kecil banyak ibu ibu KB tapi ga berisik kek laki . Lah ini laki disuruh KB berisik ngalahin perempuan-_-",2025-04-30T23:33:19.000Z,
twitter,"Warga X ini bebal², dikasitau yg bener malah menghujat... 
Diharuskan vasektomi spya anak lu keurus, gak mikir lu tiap ng3nt0t beranak mulu tp anak lu gak keurus? 
Punya bnyk anak trs ekonomi sulit ujung²nya nyalahin pemerintah mulu lu SDM Rendah!!!",2025-04-30T23:33:16.000Z,
twitter,"Nahh ini, tapi org2 kyk gtu ngecounter nya pake kalimat “kb dan vasektomi itu haram”
Giliran anak banyak tp gk bertanggung jawab dan gapunya penghasilan lalu hidup susah malaj nyalahin pemerintah aja. 🫩",2025-04-30T23:32:53.000Z,
twitter,Dari sekian banyak KB buat laki2 kenapa milih vasektomi?,2025-04-30T23:32:45.000Z,
