platform,komentar,timestamp,sentimen
twitter,"Mungkin isu memilukan ini (pasutri 8 anak kelaparan), gudbener Jabar KDM putuskan kebijakan bgi suami gakin di Jabar yg hendak ambil bansos wajib vasektomi. Mengundang pro & kontra. Ingat ktk Alm Pak Harto memulai gerakan KB, kontroversi spt yg dialami KDM juga terjadi.",2025-05-01T00:57:26.000Z,
twitter,"Kuncinya itu Vasektomi. Bansos bersyarat Vasektomi yang jadi Kontroversi. Bantuan kok bersyarat, Lu niat bantu atau niat Kampanye?",2025-05-01T00:51:30.000Z,
twitter,"aku rasa pun kebijakan ini cuma kebijakan ""kontroversi"" buat narik gen z atau pro vasektomi. menurut aku sih gak akan jalan, tapi dia kan dibeberapa orang jadi ada branding ""pro vasektomi = pro terhadap perempuan"" and such",2025-05-01T00:27:43.000Z,
twitter,"30/4
Kontroversi Vasektomi Dedi Mulyadi: Usulan Syarat Bansos Picu Polemik
https://indoraya.news/kontroversi-vasektomi-dedi-mulyadi-usulan-syarat-bansos-picu-polemik… 
Baru usulan. Terkait syarat bansos untuk keluarga prasejahtera dan penerima beasiswa. Hashtag #vasektomi viral di X.",2025-04-30T09:44:23.000Z,
twitter,"Jadi ingat kontroversi yang sekarang lagi beredar waktu gub Jabar mencanangkan wajib vasektomi bagi yang kurang mampu.
Buat gue sendiri kebijakan tsb masih kontroversi. Di satu sisi kita harus realistis kalau lu gak punya uang gimana mau ngasih kehidupan layak buat anak?",2025-04-29T23:25:36.000Z,
twitter,"Oh ya, kontributor kami ada yang menceritakan pengalamannya ikut program MOP gratis secara detail di artikel baru Jurno. Dari kontroversi yang panjang ini, udah jelas kalau vasektomi itu bukan cuma soal KB, tapi soal berbagi tanggung jawab dalam hubungan.",2024-11-18T08:03:05.000Z,
twitter,"Vasektomi jadi kontroversi? Tambah keren aja nih fatwa nya... Seneng bgt bikin anak kali ya? -______-""",2012-06-05T10:44:13.000Z,
twitter,Kontroversi Vasektomi. Wow,2012-06-05T07:12:12.000Z,
twitter,KONTROVERSI VASEKTOMI,2012-06-05T07:08:40.000Z,
twitter,"problem sosial republik makin meningkat,solusi pembatasan angka natalitas smakin kontroversi #Vasektomi+ Tubektomi",2012-06-05T06:57:57.000Z,
twitter,Kontroversi vasektomi.heug siah,2012-06-05T06:52:03.000Z,
twitter,Kontroversi Vasektomi,2012-06-05T06:48:35.000Z,
twitter,"Tantangan prog KB. Kontroversi utk Kontap:kontrasepsi mantap ""
@Hilda4444
: @saya_noriyu vasektomi ga boleh di Islam. kalau kondom sih boleh.""",2011-11-07T04:22:48.000Z,
