platform,komentar,timestamp,sentimen,komentar_bersih
twitter,Bukannya nyari solusi malah bikin kontroversi,2025-01-01T12:00:00Z,negatif,bukannya nyari solusi malah bikin kontroversi
twitter,Ini manipulasi kebijakan,2025-01-02T12:00:00Z,negatif,ini manipulasi kebijakan
twitter,Ini pelanggaran HAM terang-terangan,2025-01-03T12:00:00Z,negatif,ini pelanggaran ham terangterangan
twitter,Dedi gagal paham tentang kemiskinan,2025-01-04T12:00:00Z,negatif,dedi gagal paham tentang kemiskinan
twitter,"Kenapa bukan edukasi dulu, malah langsung vasektomi?",2025-01-05T12:00:00Z,negatif,kenapa bukan edukasi dulu malah langsung vasektomi
twitter,Ini pemerintah atau dukun?,2025-01-06T12:00:00Z,negatif,ini pemerintah atau dukun
twitter,"Gak masuk akal, cowok disuruh KB demi bantuan",2025-01-07T12:00:00Z,negatif,gak masuk akal cowok disuruh kb demi bantuan
twitter,Ini pemerintah atau dukun?,2025-01-08T12:00:00Z,negatif,ini pemerintah atau dukun
twitter,Dedi Mulyadi main paksa aja,2025-01-09T12:00:00Z,negatif,dedi mulyadi main paksa aja
twitter,"Parah banget, kayak zaman penjajahan",2025-01-10T12:00:00Z,negatif,parah banget kayak zaman penjajahan
twitter,"Parah banget, kayak zaman penjajahan",2025-01-11T12:00:00Z,negatif,parah banget kayak zaman penjajahan
twitter,"Ini bukan solusi, ini nyiksa rakyat kecil",2025-01-12T12:00:00Z,negatif,ini bukan solusi ini nyiksa rakyat kecil
twitter,Bukannya nyari solusi malah bikin kontroversi,2025-01-13T12:00:00Z,negatif,bukannya nyari solusi malah bikin kontroversi
twitter,Bukannya nyari solusi malah bikin kontroversi,2025-01-14T12:00:00Z,negatif,bukannya nyari solusi malah bikin kontroversi
twitter,Bodoh banget idenya,2025-01-15T12:00:00Z,negatif,bodoh banget idenya
twitter,"Ini kebijakan ngawur, masa vasektomi jadi syarat bantuan?",2025-01-16T12:00:00Z,negatif,ini kebijakan ngawur masa vasektomi jadi syarat bantuan
twitter,Kok makin gila aja kebijakannya?,2025-01-17T12:00:00Z,negatif,kok makin gila aja kebijakannya
twitter,"Kenapa bukan edukasi dulu, malah langsung vasektomi?",2025-01-18T12:00:00Z,negatif,kenapa bukan edukasi dulu malah langsung vasektomi
twitter,Rakyat disuruh vasektomi? Gak logis,2025-01-19T12:00:00Z,negatif,rakyat disuruh vasektomi gak logis
twitter,Kalau gak mau vasektomi gak dikasih beasiswa? Ini paksaan,2025-01-20T12:00:00Z,negatif,kalau gak mau vasektomi gak dikasih beasiswa ini paksaan
twitter,"Bansos ditukar vasektomi, logika darimana?",2025-01-21T12:00:00Z,negatif,bansos ditukar vasektomi logika darimana
twitter,Ini manipulasi kebijakan,2025-01-22T12:00:00Z,negatif,ini manipulasi kebijakan
twitter,Rakyat disuruh vasektomi? Gak logis,2025-01-23T12:00:00Z,negatif,rakyat disuruh vasektomi gak logis
twitter,Ini pemerintah atau dukun?,2025-01-24T12:00:00Z,negatif,ini pemerintah atau dukun
twitter,Ini pemerintah atau dukun?,2025-01-25T12:00:00Z,negatif,ini pemerintah atau dukun
twitter,Ini pelanggaran HAM terang-terangan,2025-01-26T12:00:00Z,negatif,ini pelanggaran ham terangterangan
twitter,"Ngeri banget, mau bantu rakyat malah disuruh steril",2025-01-27T12:00:00Z,negatif,ngeri banget mau bantu rakyat malah disuruh steril
twitter,"Bansos ditukar vasektomi, logika darimana?",2025-01-28T12:00:00Z,negatif,bansos ditukar vasektomi logika darimana
twitter,Ini pemerintah atau dukun?,2025-01-29T12:00:00Z,negatif,ini pemerintah atau dukun
twitter,"Ini kebijakan ngawur, masa vasektomi jadi syarat bantuan?",2025-01-30T12:00:00Z,negatif,ini kebijakan ngawur masa vasektomi jadi syarat bantuan
twitter,"Gak masuk akal, cowok disuruh KB demi bantuan",2025-01-01T12:00:00Z,negatif,gak masuk akal cowok disuruh kb demi bantuan
twitter,"Bansos ditukar vasektomi, logika darimana?",2025-01-02T12:00:00Z,negatif,bansos ditukar vasektomi logika darimana
twitter,"Bansos ditukar vasektomi, logika darimana?",2025-01-03T12:00:00Z,negatif,bansos ditukar vasektomi logika darimana
twitter,"Bansos ditukar vasektomi, logika darimana?",2025-01-04T12:00:00Z,negatif,bansos ditukar vasektomi logika darimana
twitter,Gak etis banget ngatur tubuh orang cuma demi bantuan,2025-01-05T12:00:00Z,negatif,gak etis banget ngatur tubuh orang cuma demi bantuan
twitter,"Ngeri banget, mau bantu rakyat malah disuruh steril",2025-01-06T12:00:00Z,negatif,ngeri banget mau bantu rakyat malah disuruh steril
twitter,"Gak masuk akal, cowok disuruh KB demi bantuan",2025-01-07T12:00:00Z,negatif,gak masuk akal cowok disuruh kb demi bantuan
twitter,Bukannya nyari solusi malah bikin kontroversi,2025-01-08T12:00:00Z,negatif,bukannya nyari solusi malah bikin kontroversi
twitter,"Ini kebijakan ngawur, masa vasektomi jadi syarat bantuan?",2025-01-09T12:00:00Z,negatif,ini kebijakan ngawur masa vasektomi jadi syarat bantuan
twitter,Bodoh banget idenya,2025-01-10T12:00:00Z,negatif,bodoh banget idenya
twitter,Rakyat disuruh vasektomi? Gak logis,2025-01-11T12:00:00Z,negatif,rakyat disuruh vasektomi gak logis
