platform,komentar,timestamp,sentimen
twitter,"Gak ada ceritanya angkur copot! Kami pakai chemical terbaik dari Hilti
Hubungi 0812 6060 2997
#jasapasangangkur #chemicalhilti #aplikatorhilti #SelamatHariBuruh #vasektomi #MediaTempoPengkhianatBangsa",2025-04-30T23:44:01.000Z,netral
twitter,"tapi dia bener kok jelas solusinya vasektomi, vasektomi juga gak sembarangan, kan ada syaratnya kak, memang bener hak mereka mau punya anak berapa tapi diliat juga kan ekonominya apa mampu dengan terus2an bikin anak tapi kebutuhannya tidak tercukupi dan jadilah stunting",2025-04-30T23:43:52.000Z,negatif
twitter,Ya makanya kalo bisa jgn kasih pilihan utk bansos biar mereka jg bisa mikir utk kerja. Mau vasektomi jg trs anaknya pada ngandelin bansos jg sampe gede? Kapan putus rantai kemiskinan nya dong? Dan ya lapangan kerja ada tapi syarat min pengalaman syarat umur dg gaji ga ngotak,2025-04-30T23:43:32.000Z,negatif
twitter,"Sederhana gigilu bau jigong.. mencegah kemiskinan ada bnyak cara, malah dipilih vasektomi... Kalo angkat rahim gimana?? Biar lu perempuan mandul juga mau??",2025-04-30T23:43:09.000Z,negatif
twitter,Masih mending vasektomi karena kalo gua jadi beliau gua suruh potong titit,2025-04-30T23:42:34.000Z,netral
twitter,"emang gaadil sejak dalam pikiran, setuju gara² itu cowok aja. mendorong vasektomi bagus, tapi memaksakan jangan permah didukung. mau vasektomi, KB, tubektomi jangan pernah setuju kalo dipaksakan apalagi dikaitkan bansos",2025-04-30T23:39:12.000Z,negatif
twitter,"Vasektomi -> Haram

Kelar",2025-04-30T23:39:04.000Z,negatif
twitter,Standar ganda sekali. Menggalakkan vasektomi tapi menghalangi sex edu.,2025-04-30T23:38:11.000Z,negatif
twitter,"Benerr, liat bayi dikasih kental manis buat pengganti susu ini gk cuma satu atau dua kasus aja
Ada banyak anak yg blm genep setaun tapi mamanya udh hamil lagi karena gak boleh kb atau lakinya gk mau vasektomi",2025-04-30T23:37:04.000Z,negatif
twitter,"Lebih jahat kalau membiarkan 1 pasangan anaknya lebih dari 8, semuanya ga ada yg jadi orang berhasil, hutang sana sini trus, kaya tetangga saya. Sini ke kampung di jabar banyak, kalo mau lihat. Ini kan ga papa punya anak tapi maks 2,setelah itu vasektomi ayahnya.",2025-04-30T23:36:52.000Z,negatif
