platform,komentar,timestamp,sentimen,komentar_bersih
twitter,"Gak ada ceritanya angkur copot! Kami pakai chemical terbaik dari Hilti
Hubungi 0812 6060 2997
#jasapasangangkur #chemicalhilti #aplikatorhilti #SelamatHariBuruh #vasektomi #MediaTempoPengkhianatBangsa",2025-04-30T23:44:01.000Z,netral,gak cerita angkur copot pakai chemical baik hilti hubung jasapasangangkur chemicalhilti aplikatorhilti selamathariburuh vasektomi mediatempopengkhianatbangsa
twitter,"tapi dia bener kok jelas solusinya vasektomi, vasektomi juga gak sembarangan, kan ada syaratnya kak, memang bener hak mereka mau punya anak berapa tapi diliat juga kan ekonominya apa mampu dengan terus2an bikin anak tapi kebutuhannya tidak tercukupi dan jadilah stunting",2025-04-30T23:43:52.000Z,positif,bener solusi vasektomi vasektomi gak sembarang syarat kak bener hak anak liat ekonomi terus bikin anak butuh cukup stunting
twitter,Ya makanya kalo bisa jgn kasih pilihan utk bansos biar mereka jg bisa mikir utk kerja. Mau vasektomi jg trs anaknya pada ngandelin bansos jg sampe gede? Kapan putus rantai kemiskinan nya dong? Dan ya lapangan kerja ada tapi syarat min pengalaman syarat umur dg gaji ga ngotak,2025-04-30T23:43:32.000Z,positif,ya kalo jgn kasih pilih utk bansos biar jg mikir utk kerja vasektomi jg trs anak ngandelin bansos jg sampe gede putus rantai miskin nya ya lapang kerja syarat min alam syarat umur dg gaji ga ngotak
twitter,"Sederhana gigilu bau jigong.. mencegah kemiskinan ada bnyak cara, malah dipilih vasektomi... Kalo angkat rahim gimana?? Biar lu perempuan mandul juga mau??",2025-04-30T23:43:09.000Z,positif,sederhana gigilu bau jigong cegah miskin bnyak pilih vasektomi kalo angkat rahim gimana biar lu perempuan mandul
twitter,Masih mending vasektomi karena kalo gua jadi beliau gua suruh potong titit,2025-04-30T23:42:34.000Z,netral,mending vasektomi kalo gua beliau gua suruh potong titit
twitter,"emang gaadil sejak dalam pikiran, setuju gara² itu cowok aja. mendorong vasektomi bagus, tapi memaksakan jangan permah didukung. mau vasektomi, KB, tubektomi jangan pernah setuju kalo dipaksakan apalagi dikaitkan bansos",2025-04-30T23:39:12.000Z,positif,emang gaadil pikir tuju gara cowok aja dorong vasektomi bagus paksa mah dukung vasektomi kb tubektomi tuju kalo paksa kait bansos
twitter,"Vasektomi -> Haram

Kelar",2025-04-30T23:39:04.000Z,positif,vasektomi haram kelar
twitter,Standar ganda sekali. Menggalakkan vasektomi tapi menghalangi sex edu.,2025-04-30T23:38:11.000Z,positif,standar ganda galak vasektomi halang sex edu
twitter,"Benerr, liat bayi dikasih kental manis buat pengganti susu ini gk cuma satu atau dua kasus aja
Ada banyak anak yg blm genep setaun tapi mamanya udh hamil lagi karena gak boleh kb atau lakinya gk mau vasektomi",2025-04-30T23:37:04.000Z,positif,benerr liat bayi kasih kental manis ganti susu gk aja anak yg blm genep taun mama udh hamil gak kb laki gk vasektomi
twitter,"Lebih jahat kalau membiarkan 1 pasangan anaknya lebih dari 8, semuanya ga ada yg jadi orang berhasil, hutang sana sini trus, kaya tetangga saya. Sini ke kampung di jabar banyak, kalo mau lihat. Ini kan ga papa punya anak tapi maks 2,setelah itu vasektomi ayahnya.",2025-04-30T23:36:52.000Z,positif,jahat biar pasang anak ga yg orang hasil hutang trus kaya tetangga kampung jabar kalo lihat ga papa anak maks vasektomi ayah
twitter,Ini bikin dilema. Di satu sisi aku setuju sama statement ini tapi di satu sisi aku setuju soal program vasektomi. Yah emang akar dasarnya salah satunya pendidikan dan pemerenta kita tidak peduli soal itu ,2025-04-30T23:36:11.000Z,positif,bikin dilema sisi tuju statement sisi tuju program vasektomi yah emang akar dasar salah satu didik renta peduli
twitter,"et dah, timeline masih banyak noise. 

gw mute sekalian dah kata jabar, pria, laki-laki, vasektomi, sterilization",2025-04-30T23:36:05.000Z,netral,et dah timeline noise gw mute dah jabar pria lakilaki vasektomi sterilization
twitter,"because KB IS a choice and vasektomi should be a choice too! pemberian sembako itu kewajiban negara tanpa syarat, kalau pemberian sembako dengan syarat harus vasektomi itu secara tidak langsung pembasmian masyarakat miskin (secara literal) ",2025-04-30T23:35:42.000Z,positif,because kb is a choice and vasektomi should be a choice too beri sembako wajib negara syarat beri sembako syarat vasektomi langsung basmi masyarakat miskin literal
twitter,"Kocak lu tolol, lu pikir vasektomi tuh titit nya ditebas????",2025-04-30T23:35:19.000Z,positif,kocak lu tolol lu pikir vasektomi tuh titit nya tebas
twitter,Kata Kunci hari ini adalah VASEKTOMi,2025-04-30T23:35:15.000Z,netral,kunci vasektomi
twitter,"Kayanya vasektomi bukan hal yang  bakal diterima dengan mudah oleh negara ini. 
Tapi bisa beralih ke yang wajib dapat bansos atau diprioritaskan adalah yang memiliki anak 2 dan  merupakan istri pertama.",2025-04-30T23:35:04.000Z,negatif,kaya vasektomi terima mudah negara alih wajib bansos prioritas milik anak istri
twitter,Pro ada program vasektomi sebagai program kb baru,2025-04-30T23:33:44.000Z,netral,pro program vasektomi program kb
twitter,"Dengan Vasektomi itu membantu banget mengurangi beban hidup istri sama masa depan anak lu juga . Lu cuma disuruh KB bukan disuruh potong titit , dari jaman gua kecil banyak ibu ibu KB tapi ga berisik kek laki . Lah ini laki disuruh KB berisik ngalahin perempuan-_-",2025-04-30T23:33:19.000Z,negatif,vasektomi bantu banget kurang beban hidup istri anak lu lu suruh kb suruh potong titit jaman gua kb ga berisik kek laki laki suruh kb berisik ngalahin perempuan
